Diameter(nm) Mobility(cm^2/Vs) Pair_STD
3.0 -1.512865003930905E-4 9.218701233635118E-5
3.5 0.0017368053362730486 4.055946240144732E-4
4.0 0.017670546405075337 0.005923812757714487
4.5 0.06562090185883714 0.007151792652724398
5.0 0.1764248349741563 0.02289311313927826
5.5 0.2884191743097264 0.018875789623563715
6.0 0.36990402392436705 0.026731970296047108
6.5 0.3477395517578692 0.03411244692959291
7.0 0.3186934715890586 0.009353644600395802
7.5 0.3233799257253102 0.016471680728794753
8.0 0.6071188628784899 0.019300351843184616
