Diameter(nm) Mobility(cm^2/Vs) Pair_STD
3.0 -4.170269946437311E-6 9.025778872950128E-6
3.5 1.382939673258346E-4 3.610720649236016E-5
4.0 0.0037221479407190733 8.16871889633646E-4
4.5 0.023829480904617516 0.0015995603258117364
5.0 0.08225097220789915 0.003348842394877644
5.5 0.1666096573782175 0.009003958585017393
6.0 0.2694069998835942 0.009423652596186063
6.5 0.32161904398736463 0.012943430922672444
7.0 0.3382760517511957 0.005078843293479053
7.5 0.2992618353736133 0.006504588405826213
8.0 0.1783860470173625 0.00240420963287317
8.5 0.08094029833423348 0.0016573478987376097
9.0 0.48166719910313444 0.010276637120039678
9.5 0.6833235032776852 0.015589604856608368
10.0 0.7212551840915673 0.019356455726682067
10.5 0.41631847844763364 0.008695432403924442
11.0 0.26606330293338887 0.004617548360147056
