Diameter(nm) Mobility(cm^2/Vs) Pair_STD
3.0 -6.443757421742908E-7 4.429729148110506E-6
3.5 4.176830429439755E-5 2.4183965183498506E-5
4.0 0.0016491019108223165 4.1454305947106573E-4
4.5 0.013509414127513098 7.820503289357459E-4
5.0 0.05543147369635768 0.003565025790250423
5.5 0.1329744439898607 0.009200105803771425
6.0 0.23317087230874106 0.010147908377281299
6.5 0.3369262069159494 0.01405261439930143
7.0 0.41737918997086415 0.00541665631477326
7.5 0.48394655814369714 0.011646278117577116
8.0 0.5333981659639411 0.006384683774223743
