Diameter(nm) Mobility(cm^2/Vs) Pair_STD
3.0 0.010725768220325407 8.211558470914824E-4
3.5 0.056768942495324895 0.0024172728754112472
4.0 0.11538445437365161 0.006077757440817902
4.5 0.2114357520369939 0.004562083565107118
5.0 0.26584118117756006 0.008990723361565409
5.5 0.32193851854007693 0.008816379688901447
6.0 0.37700407706960554 0.004670162613108276
6.5 0.4317984907970785 0.014763532241602909
7.0 0.44674477044293104 0.009677503139821743
7.5 0.5173682784653171 0.01264604203947282
8.0 0.5828218588290597 0.005597922265422126
