nelec Mobility(cm/Vs) Pair_STD
3.0 0.005664102926766795 9.56028076423995E-4
3.5 0.028816916581769804 0.002215281137103786
4.0 0.07069179169019481 0.005505495484237359
4.5 0.12251201839682394 0.00740455458492161
5.0 0.1673916704051103 0.007806569186896985
5.5 0.17906348397917163 0.01093730182709534
6.0 0.16719594046867226 0.007763192777245781
6.5 0.1416185474417338 0.00812084330108234
7.0 0.18775629670625676 0.00852040530459238
7.5 0.2958101018120185 0.01672801307359656
8.0 0.36811583074649157 0.01923575692458309
