nelec Mobility(cm/Vs) Pair_STD
80 0.7566817866238351 0.02135686687786841
160 0.7052220559766337 0.016012076112558872
240 0.6225252078703033 0.014760693192267431
320 0.5150020689163167 0.011491748506295271
400 0.411966890784848 0.008616875086385228
480 0.2969291190493371 0.005765654424199372
560 0.19535492300609192 0.0030310325584652067
640 0.10938863801772455 0.002306059456628611
720 0.04430582042277277 9.136536586977219E-4
800 0.00219249972103296 9.858466639433527E-5
880 0.06658176037508796 0.0022158610137776127
960 0.12884611115438566 0.004131628687760304
1040 0.15722108069260943 0.0038425434987649073
1120 0.1668379775164557 0.003443355698522858
1200 0.14826986942372025 0.003809187217072661
1280 0.12205255310225974 0.0025025332741634297
1360 0.08331654373417673 0.0022929841910841373
1440 0.04684354347834896 9.95645562921656E-4
1520 0.016703466828027046 3.968349350325092E-4
1600 0.0026676486811706345 1.419747049835608E-4
