SampleNumber Mobility(cm^2/Vs)
0 3.209664838806721
1 3.2172287185734376
2 2.5306251466558303
3 4.287789285621924
4 4.455409203125057
5 3.806327152919148
6 3.0101130692116067
7 3.0771362054258606
8 3.1905620377269535
9 4.182652255052272
10 4.014210166396857
11 2.6437646036646036
12 2.678841478048212
13 2.2237681927538886
14 2.869796938078944
15 4.120760137706702
16 4.395993221660452
17 4.323834726586499
18 2.7143572066908175
19 2.431504996165465
20 2.3672070576404947
21 3.5832520740741876
22 2.8650525679596144
23 3.7765003029653714
24 3.77612149695345
25 3.146906878997597
26 4.543791054854667
27 0.5936550495090596
28 2.7419447572584708
29 2.6780076379112687
30 4.170248613393669
31 2.9795854480448165
32 6.683912945978802
33 2.8045940374736835
34 3.95846954336993
35 2.432870663314512
36 3.8441594488047417
37 2.2836581163608667
38 3.3660572569590372
39 6.442236084906892
40 3.817006467303464
41 3.7790668450266414
42 5.582124111459524
43 4.579344860330865
44 2.6327439208764982
45 3.4369950831553107
46 4.270386829363478
47 3.5354576069261956
48 3.1602391997384434
49 3.870421711468021
0 3.575105744427889
1 3.9338213303996787
2 4.0162976880351895
3 3.8430664798822423
4 2.873330428143393
5 2.7973872667605204
6 2.7948118160076696
7 3.129762589531751
8 1.7921899845193636
9 6.544568877920742
10 4.38922693446456
11 3.3048956837221066
12 4.057307485313496
13 1.7033514959689486
14 3.92942763557841
15 4.4748530660236305
16 3.387162381395174
17 3.962926864757479
18 3.2936655657339893
19 3.720615496083936
20 2.6494474797678182
21 2.298456130866744
22 3.2525122582603396
23 3.682519247513994
24 4.216031683444866
25 2.2431120992825875
26 3.024957737674261
27 3.6028772689518975
28 5.118422790874195
29 3.8408388439908134
30 2.6715530342317724
31 5.152556765231586
32 2.220654255874139
33 4.754576069294296
34 3.5855371427449065
35 3.4013466485965047
36 3.735617266470782
37 2.111227278170217
38 6.211493179211406
39 5.268731435995802
40 3.7435535196362526
41 6.930766207273232
42 4.165596436965788
43 4.055619773991934
44 3.7621086790513116
45 2.963476832687893
46 10.560905127826167
47 2.0452771202987616
48 2.032563355411015
49 3.4774909181349236
0 7.390556577741336
1 4.181597593651979
2 4.124562284892882
3 3.377599502918253
4 3.196342523986739
5 4.7686805360039095
6 2.9518844503280692
7 3.598668747735805
8 2.774109684096389
9 4.393913574060068
10 3.191251098021734
11 3.3237468208350514
12 3.0396597442963387
13 3.4224974457063864
14 4.0739443366976245
15 3.3373156419800223
16 3.3456480904242056
17 4.682727771145907
18 3.743767304010116
19 3.17235106023274
20 2.8288991069716154
21 7.338622386774845
22 3.218506782398663
23 5.006069109691111
24 3.2455312997243917
25 9.350839368701452
26 3.46353243115561
27 2.807430191565741
28 4.078675775642219
29 2.628888911659453
30 3.976084114083748
31 4.416617031799914
32 3.0594481080579703
33 3.1297238168370822
34 2.820104352364396
35 3.547410925775056
36 3.215579036908549
37 3.3746491176834494
38 3.586417964814718
39 2.9783280866624526
40 2.8885342844629944
41 2.3347883345437626
42 2.976150257877306
43 3.677620094875515
44 3.6235396997768747
45 3.646973852031959
46 3.6611873953586294
47 3.785383231753322
48 3.381883993233488
49 3.139271180312779
0 4.314226125983717
1 4.560968220309421
2 3.4804968165793375
3 3.473746169458381
4 5.839556056456093
5 2.197069503889686
6 3.738075231304463
7 2.8106415240313876
8 4.251345240442089
9 3.362031291648253
10 3.9324399471594704
11 2.8811508669004624
12 4.72540373146291
13 4.710814307586242
14 3.537753540433801
15 2.901003334202727
16 4.080131281555667
17 3.645237605997419
18 4.203311799832557
19 1.1465878851306277
20 2.178639479309365
21 3.5675912447292437
22 0.9245316803817895
23 2.81922180864176
24 2.258412600878361
25 4.212838010634046
26 4.6528703616914076
27 3.4761118584356185
28 3.5761378593590316
29 3.6373850766073486
30 4.338834232045957
31 2.1095547059444075
32 2.5140342129192343
33 3.598373728203507
34 2.4731468084401564
35 4.2301014836990625
36 3.997984790312893
37 5.113137937822534
38 3.299267874611851
39 3.2793689951640363
40 3.414523892370874
41 4.147383935145659
42 3.561737095540358
43 3.1948580496254144
44 2.9329561766040797
45 3.7062154347665723
46 1.826670558468654
47 3.435792260890672
48 3.0591328754921303
49 3.2078463019596093
