SampleNumber Mobility(cm^2/Vs)
0 0.21425478022993794
1 0.36415618738104777
2 0.2737384391886508
3 0.3185678434026097
4 0.22109054490912897
5 0.3186935043741539
6 0.2329853377456239
7 0.31660768698857866
8 0.28023640398938143
9 0.24409721681635455
10 0.1755760166977953
11 0.24034149207750916
12 0.27629701655613326
13 0.2784192893490439
14 0.19460906062206995
15 0.16281840295957833
16 0.22033457124790856
17 0.3836523372844808
18 0.33219245440800516
19 0.34345857290857335
20 0.3914291072644063
21 0.19052275386747455
22 0.29633721936999297
23 0.23079696889258455
24 0.24197118286943137
25 0.3668909900475654
26 0.2377456441707021
27 0.1948683586205995
28 0.1027300495509915
29 0.26524965634842246
30 0.30426161271559815
31 0.2586040884205988
32 0.18840048107456392
33 0.406527983138196
34 0.23328494696909524
35 0.2525715703984314
36 0.18840048107456392
37 0.3814776480549237
38 0.2547798700190982
39 0.24863140499146702
40 0.3236507465791095
41 0.211832898213556
42 0.3306610431449149
43 0.25329142470310123
44 0.31660768698857866
45 0.3623594633980135
46 0.3267344431851734
47 0.3583266851569971
48 0.2528196208959326
49 0.22515400933126634
