SampleNumber Mobility(cm^2/Vs)
0 0.26695526299839645
1 0.28028302457729554
2 0.17964158615907094
3 0.14189997083718336
4 0.2067570449533577
5 0.1776383043061902
6 0.17718962364694074
7 0.24333104028772934
8 0.12510609688999186
9 0.10045441372037353
10 0.09095761810267186
11 0.09064303849112981
12 0.18375543727026972
13 0.28080650917319944
14 0.1702754267090245
15 0.1543362613109865
16 0.29851984071415016
17 0.08801407770407799
18 0.11848108082839492
19 0.1635004971592663
20 0.23253552749867903
21 0.12270882081204006
22 0.2547032902774597
23 0.2046591613694611
24 0.19806358792754558
25 0.18720416608995466
26 0.14203380691754194
27 0.24440374450188468
28 0.2725161028597927
29 0.24819565548662098
30 0.08648446626545817
31 0.05128857203722488
32 0.15575670652375995
33 0.2083920124548047
34 0.10115026583631531
35 0.2461934489117846
36 0.23512355274622967
37 0.20318051593461453
38 0.13363325244621382
39 0.07125165064561456
40 0.1499171886635717
41 0.18617756144715544
42 0.14310999512459355
43 0.1975960154191533
44 0.22166538832876337
45 0.23707909916330408
46 0.2209087031316167
47 0.14971826852744968
48 0.22492521672667792
49 0.13350932949737768
