SampleNumber Mobility(cm^2/Vs)
0 2.354700264297627
1 2.3923693975174842
2 2.3080890124873754
3 2.4117135230439564
4 2.3051026910359322
5 2.3724528797341087
6 2.3108653707106477
7 2.3075048861112806
8 2.3130772721185497
9 2.3569162957201164
10 2.383869529029092
11 2.329887869934728
12 2.31224185640992
13 2.2579925972975126
14 2.407846244652614
15 2.4064829735694264
16 2.371880602807348
17 2.403863914748425
18 2.297295812862248
19 2.440919121530463
20 2.3724528797341087
21 2.3492319954611998
22 2.3848743315449035
23 2.277853536259906
24 2.314980334562863
25 2.2633084235577607
26 2.4585209194001836
27 2.3016920508460794
28 2.3224180298887327
29 2.4684578533285606
30 2.375541541332617
31 2.4097849391186643
32 2.2960632324100825
33 2.2821047738888867
34 2.285285688937079
35 2.3802770261502086
36 2.2997783148253412
37 2.2522511215192336
38 2.320293730009294
39 2.376693725426514
40 2.3224974455587173
41 2.4255150542048245
42 2.34896772386735
43 2.301355272895302
44 2.2716191212197945
45 2.4330728393837124
46 2.473874463403641
47 2.3802770261502086
48 2.3618749736153326
49 2.402711730654528
